,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
95,Teemu/pytest-sugar,1036,68,413,"['pytest', 'pytest-sugar', 'python', 'testing', 'pytest-plugin']",321
96,html5lib/html5lib-python,1020,273,1609,[],6859
97,kpreid/shinysdr,1012,110,1768,"['sdr', 'rtl-sdr', 'gnuradio', 'amateur-radio']",6242
98,authomatic/authomatic,1005,383,1156,"['python', 'authentication', 'oauth2-client', 'oauth-client', 'openid-client', 'authorization']",6873
99,openwisp/django-rest-framework-gis,1003,196,540,"['django', 'django-rest-framework', 'gis', 'python', 'geojson', 'hacktoberfest']",552
100,victorlei/smop,1001,390,258,[],23276
101,mps-youtube/yewtube,7432,608,2076,[],2842
102,raspberrypi/documentation,4816,1872,5281,"['raspberry-pi', 'raspberry-pi-camera', 'raspberry-pi-pico', 'documentation', 'asciidoc']",517676
103,lennylxx/ipv6-hosts,4451,1049,545,"['hosts', 'ipv6', 'ggc', 'reverse-engineering', 'google']",7572
104,spotipy-dev/spotipy,4377,855,630,[],1218
105,OpenDroneMap/ODM,4040,954,3119,"['point-cloud', 'photogrammetry', 'drone', 'uas', 'structure-from-motion', 'aerial-imagery']",12028
106,rawpython/remi,3258,384,1388,"['python', 'gui-library', 'remi', 'platform-independent', 'ui', 'gui']",4412
107,GAM-team/GAM,3045,443,3342,"['google', 'gsuite', 'google-apps', 'google-admin-sdk', 'google-drive', 'google-cloud', 'google-calendar', 'google-api', 'python', 'oauth2', 'oauth2-client', 'gam', 'google-workspace']",62859
108,chipsec/chipsec,2644,526,1759,"['firmware', 'firmware-security', 'firmware-tools', 'security', 'security-tools']",96122
109,HBNetwork/python-decouple,2388,168,194,"['python', 'configuration-files', 'environment-variables']",144
110,tox-dev/pipdeptree,2348,124,346,"['python', 'pip', 'dependency-graph']",478
111,GAM-team/got-your-back,2241,188,712,[],6619
112,themix-project/themix-gui,1863,64,2059,"['gtk', 'colorscheme', 'xfwm-theme', 'cinnamon-theme', 'gnome-shell-theme', 'openbox-theme', 'materia-theme', 'numix-theme', 'icon-theme', 'xresources', 'gtk2-theme', 'gtk3-theme', 'papirus-icon-theme', 'suru-icons']",14889
113,disposable-email-domains/disposable-email-domains,1641,390,549,"['disposable', 'email', 'domain', 'blocklist', 'filter', 'allowlist', 'pypi', 'hacktoberfest']",693
114,volatilityfoundation/volatility3,1404,265,3771,"['digital-investigation', 'forensics', 'incident-response', 'malware', 'memory', 'python', 'ram', 'volatility', 'volatility-framework']",6481
115,linode/docs,1343,1176,11656,[],2025625
116,unode/firefox_decrypt,1337,253,269,"['python', 'libnss3', 'extract-passwords', 'firefox-decrypt', 'thunderbird', 'firefox', 'command-line-tool', 'mozilla', 'waterfox', 'seamonkey']",395
117,cyweb/hammer,1330,1135,11,[],4
118,python-control/python-control,1328,342,1948,[],11226
119,openwpm/OpenWPM,1267,300,2097,"['python3', 'privacy', 'crawler', 'firefox']",89334
120,jab/bidict,1264,54,609,"['python', 'bidict', 'bimap', 'data-structures']",2070
121,thebjorn/pydeps,1256,89,470,[],838
122,dronekit/dronekit-python,1238,1218,1145,[],5840
123,neovim/pynvim,1231,110,558,[],609
124,nidem/kerberoast,1203,285,49,[],71
125,yahoo-finance/yahoo-finance,1199,347,96,"['python', 'yahoo-finance-api', 'finance']",68
126,mwaskom/seaborn-data,1193,2800,46,[],7454
127,glumpy/glumpy,1169,166,878,"['python', 'numpy', 'opengl', 'engine', 'rendering', 'game', 'visualization', 'science']",12310
128,galkan/crowbar,1166,299,111,[],757
129,jasonstrimpel/volatility-trading,1165,294,74,"['python', 'trading', 'options', 'options-trading', 'volatility', 'volatility-trading']",8160
130,vaastav/Fantasy-Premier-League,1164,730,390,"['python', 'fantasy-premier-league', 'fpl-analysis', 'fpl']",107072
131,trehn/termdown,1157,94,184,"['countdown', 'timer', 'terminal', 'python', 'stopwatch']",275
132,ionelmc/cookiecutter-pylibrary,1127,191,1128,"['python', 'cookiecutter-template', 'template', 'cookiecutter']",1245
133,pyexcel/pyexcel,1113,161,1945,"['python', 'excel', 'csv', 'xls', 'ods', 'xlsx', 'xlsm', 'fods']",4044
134,facebook/facebook-python-business-sdk,1101,616,588,[],13243
135,openstack/kolla,1098,532,10109,[],16840
136,bashtage/arch,1082,229,1014,"['arch', 'volatility', 'bootstrap', 'multiple-comparison-procedures', 'forecasting', 'risk', 'financial-econometrics', 'time-series', 'unit-root', 'dickey-fuller', 'adf', 'phillips-perron', 'df-gls', 'reality-check', 'spa', 'model-confidence-set', 'finance', 'variance']",98949
137,coleifer/walrus,1081,91,364,"['redis', 'python', 'orm', 'full-text-search', 'autocomplete', 'database']",593
138,pahaz/sshtunnel,1078,173,384,"['python', 'tunnel', 'ssh']",551
139,cloudflare/bpftools,1071,135,124,[],145
140,django-json-api/django-rest-framework-json-api,1067,282,1057,"['python', 'json-api', 'django-rest-framework', 'hacktoberfest']",1755
141,frappe/bench,1064,1036,2272,"['frappe-bench', 'cli', 'frappe-framework', 'setup-bench', 'python']",31604
142,ionelmc/pytest-benchmark,1062,99,1001,"['python', 'pytest', 'benchmark', 'benchmarking', 'performance']",1619
143,annoviko/pyclustering,1058,237,2079,"['clustering', 'oscillatory-networks', 'data-mining', 'neural-networks', 'python3', 'c-plus-plus', 'machine-learning', 'algorithms', 'data-science', 'python']",35139
144,drcoms/drcom-generic,1049,263,340,[],1849
145,mitsuhiko/pluginbase,1046,144,56,[],78
146,google/adb-sync,1044,147,36,[],32
147,atlassian-api/atlassian-python-api,1035,545,1560,"['atlassian', 'jira', 'confluence', 'bamboo', 'api', 'rest', 'python', 'bitbucket', 'jira-service-desk', 'portfolio', 'advanced-roadmaps', 'crowd', 'wrapper', 'tempo', 'xray', 'hacktoberfest']",2155
