,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
1054,dwks/silvius,98,27,67,67,79
1055,etlweather/gaucho,94,52,65,65,44
1056,muflone/gnome-appfolders-manager,106,10,283,283,541
1057,ksator/python-training-for-network-engineers,108,47,141,141,8788
1058,jrxFive/python-nomad,119,62,199,199,366
1059,expo-community/expo-server-sdk-python,113,37,50,50,52
1060,CiscoDevNet/ydk-py-samples,102,85,669,669,1500
1061,ubuntunux/PyEngine3D,130,15,1493,1493,538096
1062,blackye/BkScanner,100,63,9,9,419
1063,Gh05ter/Bank,115,49,24,24,368061
1064,claws/aioprometheus,136,16,124,124,331
1065,mapbox/supermercado,115,18,89,89,185
1066,AnthonyBloomer/tmdbv3api,180,39,98,98,177
1067,Eleirbag89/RusPython,116,1,57,57,292
1068,nukeop/hide.py,100,19,12,12,23
1069,ZFTurbo/KAGGLE_DISTRACTED_DRIVER,93,53,19,19,20
1070,0x3a/stargate,93,23,8,8,8
1071,srivatsan-ramesh/Virtual-Makeup,119,46,5,5,1566
1072,juliandewit/kaggle_ndsb2,95,50,36,36,250987
1073,AdmiralenOla/Scoary,113,34,232,232,2631
1074,salseeg/ping-indicator,94,13,63,63,3171
1075,saemundsson/semisupervised_vae,98,37,2,2,35534
1076,Viblast/dash-proxy,112,53,13,13,12
1077,taxpon/openpyscad,107,17,94,94,241
1078,infinet/rsync-time-machine,93,11,8,8,25
1079,alephdata/fingerprints,118,19,80,80,177
1080,vikasnar/Bleu,110,43,19,19,9
1081,pyxem/pyxem,114,75,5074,5074,12383
1082,freedomofpress/securethenews,96,26,969,969,3943
1083,openopt/copt,122,31,916,916,16072
1084,titan-web/rate-limit,104,32,8,8,31
1085,quatrope/astroalign,116,31,259,259,36598
1086,chrisjbillington/inotify_simple,106,20,58,58,62
1087,crescentvenus/WALB,106,24,69,69,1720
1088,marcy-terui/lamvery,93,16,277,277,12977
1089,jinhang/12306_captcha,95,48,2,2,3449
1090,ANSSI-FR/tabi,98,29,13,13,2532
1091,qpic/qpic,117,17,150,150,1804
1092,leorunwind/py2webwx,93,51,19,19,13
1093,apolcyn/traclus_impl,125,56,61,61,629
1094,sysopfb/Malware_Scripts,103,28,20,20,29
1095,quantopian/algorithm-component-library,96,89,38,38,40
1096,NetrunnerDB/netrunner-cards-json,97,88,2192,2192,8638
1097,reddit-archive/reddit-service-websockets,104,21,34,34,45
1098,davebshow/goblin,93,21,363,363,487
1099,ptrus/suffix-trees,112,29,38,38,42
1100,gereeter/hsdecomp,98,17,124,124,1951
1101,ntucllab/striatum,108,31,346,346,568
1102,DavexPro/PocHunter,94,38,5,5,1748
1103,pydcs/dcs,138,58,1014,1014,14616
1104,cgarciae/tensorbuilder,93,11,156,156,2446
1105,CiwPython/Ciw,126,40,989,989,62190
1106,phodal/brand,96,26,115,115,1297
1107,NYPL-publicdomain/pd-visualization,95,7,56,56,120553
1108,Xyntax/BingC,96,71,5,5,19
1109,absortium/poloniex-api,93,22,46,46,44
1110,hubblestack/hubble-salt,93,23,223,223,1124
1111,erik/alexandra,94,11,123,123,73
1112,cvxgrp/dccp,105,26,135,135,194
1113,jeffgran/ManuForm,104,11,2,2,0
1114,spotify/super-smash-brogp,99,18,5,5,1480
1115,BUPTLdy/Land_Use_CNN,97,44,4,4,11
1116,cathay4t/kindle-weather,100,13,39,39,50
1117,ties/compal_CH7465LG_py,109,18,118,118,3855
1118,merqurio/neo4jupyter,112,28,32,32,166
1119,joewalnes/port-sharding,91,8,5,5,39412
1120,chaoming0625/WaiMaiOpinionMiner,98,49,11,11,7364
1121,kiryha/AnimationDNA,102,31,21,21,900
1122,ni/python_labview_automation,144,51,7,7,2494
1123,ahmetax/trstop,106,41,22,22,76
1124,praekeltfoundation/docker-django-bootstrap,95,25,586,586,721
1125,Hipo/university-domains-list-api,127,35,23,23,164
1126,rustyrussell/bitcoin-storage-guide,99,16,25,25,114
1127,avelkoski/FRB,118,37,23,23,46
1130,acrosson/nlp,96,82,23,23,17
1131,zyxue/ncbitax2lin,115,23,92,92,364
1132,mitsuse/autocomplete-swift,92,5,190,190,5465
1133,3xp10it/MyToolKit,94,52,46,46,194
1134,eiffel-community/eiffel,108,55,170,170,52197
1135,kasramp/UbuntuIndicatorWeather,90,12,134,134,1526
1136,ali01/walrOS,93,17,96,96,134
1137,redcanaryco/surveyor,115,47,315,315,288
1138,wackerl91/luna,96,22,331,331,2505
1139,bschwind/ir-slinger,97,29,27,27,20
1140,XIAZY/DriveIt,91,15,88,88,77
1141,zygmuntz/adversarial-validation,95,22,1,1,6
1142,offbit/char-models,91,33,20,20,13304
1143,shijing888/BayesSpam,123,66,5,5,15510
1144,auvipy/django-sqlalchemy,102,3,163,163,1474
1145,r-kan/semile,92,7,73,73,150
1146,phalt/beckett,90,8,99,99,2404
1147,cauchyturing/Imaging-time-series-to-improve-classification-and-imputation,102,53,16,16,34153
1148,zam1024t/LocalizedMenu,117,51,113,113,2261
1149,leoatchina/Scopus2Histcite,98,29,17,17,329
1150,casperkaae/LVAE,96,18,11,11,29
1151,zwdzwd/transvar,105,30,721,721,5670
1152,QTek/QRadio,92,19,13,13,45
1153,gpwclark/dash-hack,91,12,14,14,141490
1154,biothings/mygene.info,101,17,1153,1153,2938
1155,PornSieve/porn_sieve,94,10,36,36,58
1156,Floens/uchan,112,18,268,268,565
1157,awdeorio/mailmerge,116,41,850,850,965
1158,HDI-Project/FeatureHub,93,17,270,270,7444
1159,ostroproject/ostro-os,93,41,55925,55925,158706
1160,bitsoex/bitso-py,104,58,179,179,218
1161,T-Kuhn/ScrewPicker,97,34,6,6,21
1162,gtoubassi/dqn-atari,91,28,113,113,102
1163,uArm-Developer/UArmForROS,94,57,56,56,4081
1164,nneonneo/pwn-stuff,100,11,79,79,2326
1165,timmaier/PiSkate,89,9,6,6,196
1166,badlands-model/badlands,112,37,483,483,289347
1167,UNFmontreal/Dcm2Bids,116,64,346,346,8813
1168,lorenzog/dns-parallel-prober,107,30,68,68,13032
1169,opentracing-contrib/python-django,103,53,82,82,211
1170,emmetog/ansible-jenkins,103,85,59,59,129
1171,abalkin/pytest-leaks,107,4,97,97,610
1172,johann-petrak/licenseheaders,117,71,154,154,160
1173,timofurrer/shellfuncs,99,8,32,32,34
1174,cve-search/VIA4CVE,115,39,65,65,132
1175,daboross/screeps-starter-python,133,54,88,88,129
1176,mrpappas/squeaky-wheel,102,16,15,15,16
1177,Jeff2Ma/launchd-with-networkchange,120,18,13,13,155
1178,andrewliao11/CoGAN-tensorflow,101,28,57,57,22127
1179,siyuanzhao/automated-essay-grading,112,39,25,25,139
1180,GUR9000/Deep_MRI_brain_extraction,108,50,27,27,7487
1181,mgharbi/demosaicnet_caffe,103,33,30,30,44172
1182,devnag/tensorflow-pointer-networks,101,27,6,6,10
1183,cclauss/Pythonista-and-Working-Copy,103,17,33,33,18
1184,bingjin/CloudTesting,102,33,10,10,547
1185,vicolab/ml-pyxis,105,15,15,15,74
1186,hardpixel/gnome-hud,112,3,153,153,1026
1187,yousefissa/Twitter-Follow-and-Unfollow-Bot,115,39,68,68,40
1188,llSourcell/gender_classification_challenge,101,143,8,8,5
1189,fastforwardlabs/vae-tf,99,30,129,129,87275
1190,tus/tus-py-client,137,31,150,150,157
